frame,ms
0,30
1,6
2,4
3,4
4,4
5,6
6,5
7,6
8,5
9,4
10,5
11,5
12,4
13,5
14,4
15,6
16,5
17,5
18,5
19,4
20,8
21,9
22,8
23,5
24,5
25,5
26,7
27,5
28,4
29,5
30,7
31,10
32,7
33,7
34,5
35,5
36,9
37,6
38,7
39,5
40,17
41,9
42,5
43,5
44,7
45,7
46,8
47,4
48,7
49,5
50,5
51,4
52,8
53,4
54,5
55,5
56,5
57,7
58,5
59,5
60,5
61,7
62,7
63,7
64,8
65,7
66,8
67,9
68,7
69,7
70,8
71,7
72,9
73,6
74,7
75,6
76,7
77,5
78,11
79,8
80,8
81,7
82,7
83,9
84,7
85,7
86,7
87,6
88,9
89,4
90,16
91,5
92,5
93,6
94,5
95,8
96,5
97,5
98,8
99,7
100,8
101,5
102,6
103,5
104,6
105,6
106,7
107,5
108,5
109,9
110,7
111,6
112,6
113,6
114,8
115,7
116,5
117,4
118,5
119,9
120,7
121,5
122,4
123,5
124,5
125,7
126,7
127,6
128,7
129,7
130,9
131,7
132,8
133,7
134,9
135,10
136,4
137,5
138,6
139,5
140,8
141,7
142,6
143,4
144,5
145,5
146,5
147,7
148,5
149,5
150,4
151,5
152,4
153,5
154,4
155,7
156,7
157,7
158,6
159,5
160,4
161,6
162,4
163,5
164,5
165,7
166,8
167,5
168,5
169,4
170,17
171,6
172,4
173,6
174,7
175,7
176,7
177,9
178,4
179,5
180,5
181,5
182,7
183,5
184,5
185,4
186,4
187,7
188,6
189,7
190,6
191,4
192,6
193,6
194,7
195,7
196,7
197,7
198,7
199,6
200,5
201,5
202,5
203,5
204,5
205,4
206,5
207,5
208,5
209,4
210,4
211,5
212,4
213,6
214,5
215,5
216,5
217,4
218,7
219,6
220,5
221,5
222,8
223,10
224,7
225,8
226,8
227,8
228,7
229,9
230,4
231,4
232,5
233,5
234,9
235,7
236,5
237,5
238,5
239,6
240,21
241,6
242,5
243,6
244,7
245,5
246,5
247,4
248,5
249,5
250,7
251,4
252,4
253,5
254,4
255,6
256,5
257,4
258,6
259,6
260,6
261,7
262,7
263,6
264,8
265,10
266,6
267,6
268,7
269,5
270,6
271,7
272,5
273,5
274,5
275,6
276,7
277,7
278,6
279,7
280,6
281,8
282,5
283,5
284,4
285,5
286,6
287,4
288,6
289,7
290,17
291,6
292,5
293,4
294,4
295,5
296,8
297,6
298,5
299,4
300,5
301,6
302,9
303,6
304,5
305,4
306,5
307,9
308,4
309,6
310,7
311,6
312,7
313,5
314,4
315,4
316,5
317,8
318,4
319,5
320,5
321,7
322,8
323,4
324,5
325,4
326,4
327,4
328,7
329,7
330,6
331,6
332,6
333,6
334,6
335,7
336,5
337,7
338,10
339,7
340,5
341,4
342,5
343,7
344,7
345,5
346,8
347,8
348,9
349,8
350,6
351,7
352,6
353,7
354,8
355,7
356,7
357,7
358,7
359,9
360,5
361,5
362,7
363,7
364,9
365,7
366,5
367,4
368,4
369,5
370,17
371,5
372,5
373,6
374,6
375,6
376,5
377,4
378,5
379,5
380,6
381,4
382,5
383,6
384,5
385,7
386,6
387,4
388,5
389,5
390,6
391,5
392,5
393,6
394,7
395,6
396,5
397,5
398,6
399,6
400,6
401,9
402,7
403,27
404,14
405,8
406,16
407,15
408,15
409,12
410,16
411,13
412,5
413,5
414,5
415,5
416,9
417,5
418,5
419,4
420,5
421,6
422,5
423,4
424,4
425,7
426,4
427,9
428,7
429,5
430,5
431,5
432,9
433,6
434,5
435,5
436,5
437,5
438,6
439,5
440,17
441,6
442,6
443,5
444,5
445,4
446,6
447,8
448,7
449,4
450,4
451,5
452,4
453,9
454,6
455,6
456,5
457,7
458,8
459,4
460,5
461,6
462,5
463,6
464,5
465,5
466,4
467,4
468,6
469,6
470,5
471,5
472,4
473,6
474,5
475,4
476,6
477,5
478,5
479,6
480,5
481,5
482,5
483,5
484,6
485,6
486,7
487,5
488,4
489,6
490,17
491,5
492,6
493,4
494,8
495,6
496,5
497,5
498,7
499,6
500,8
501,7
502,5
503,7
504,6
505,6
506,4
507,5
508,5
509,6
510,8
511,4
512,6
513,7
514,6
515,8
516,5
517,7
518,7
519,7
520,10
521,7
522,7
523,7
524,7
525,8
526,10
527,8
528,7
529,8
530,8
531,7
532,5
533,5
534,4
535,5
536,9
537,6
538,6
539,5
540,4
541,6
542,4
543,5
544,6
545,6
546,9
547,5
548,4
549,5
550,7
551,6
552,8
553,6
554,4
555,7
556,6
557,10
558,7
559,5
560,4
561,5
562,7
563,6
564,7
565,7
566,5
567,7
568,5
569,4
570,22
571,6
572,7
573,4
574,4
575,7
576,6
577,7
578,8
579,5
580,4
581,5
582,7
583,7
584,6
585,6
586,4
587,5
588,6
589,6
590,7
591,6
592,7
593,7
594,4
595,6
596,6
597,7
598,8
599,6
600,6
601,4
602,6
603,6
604,9
605,6
606,7
607,8
608,7
609,6
610,4
611,4
612,5
613,5
614,6
615,4
616,4
617,5
618,8
619,9
620,6
621,5
622,5
623,4
624,4
625,7
626,7
627,4
628,5
629,4
630,6
631,4
632,5
633,4
634,5
635,7
636,4
637,4
638,5
639,5
640,15
641,6
642,5
643,5
644,5
645,5
646,5
647,5
648,8
649,4
650,5
651,7
652,5
653,4
654,4
655,6
656,7
657,5
658,6
659,6
660,4
661,6
662,5
663,7
664,5
665,5
666,5
667,5
668,4
669,6
670,7
671,9
672,4
673,5
674,4
675,5
676,4
677,7
678,7
679,6
680,4
681,5
682,9
683,5
684,5
685,5
686,5
687,6
688,6
689,4
690,15
691,5
692,8
693,6
694,6
695,5
696,5
697,6
698,3
699,5
700,4
701,4
702,5
703,7
704,5
705,7
706,6
707,8
708,8
709,7
710,6
711,7
712,6
713,10
714,7
715,7
716,7
717,6
718,9
719,5
720,5
721,4
722,5
723,10
724,5
725,5
726,5
727,7
728,5
729,8
730,5
731,5
732,6
733,6
734,6
735,4
736,5
737,6
738,7
739,6
740,4
741,4
742,4
743,6
744,10
745,6
746,5
747,6
748,8
749,7
750,10
751,6
752,7
753,7
754,7
755,6
756,7
757,6
758,5
759,4
760,9
761,6
762,6
763,6
764,5
765,6
766,5
767,6
768,6
769,5
770,22
771,4
772,6
773,7
774,7
775,7
776,6
777,6
778,5
779,4
780,5
781,6
782,5
783,6
784,6
785,7
786,6
787,5
788,5
789,7
790,7
791,8
792,7
793,6
794,5
795,5
796,9
797,5
798,4
799,6
800,6
801,7
802,9
803,7
804,6
805,5
806,5
807,6
808,5
809,4
810,25
811,5
812,6
813,7
814,5
815,7
816,6
817,6
818,5
819,7
820,5
821,6
822,6
823,5
824,4
825,6
826,5
827,4
828,7
829,5
830,5
831,5
832,4
833,6
834,4
835,5
836,4
837,6
838,9
839,6
840,17
841,5
842,6
843,9
844,5
845,5
846,6
847,5
848,9
849,5
850,5
851,5
852,5
853,4
854,6
855,6
856,7
857,8
858,7
859,10
860,7
861,7
862,8
863,7
864,6
865,5
866,5
867,4
868,4
869,8
870,18
871,7
872,6
873,7
874,7
875,11
876,5
877,5
878,5
879,5
880,8
881,6
882,5
883,5
884,5
885,8
886,7
887,6
888,6
889,8
890,19
891,8
892,6
893,6
894,7
895,7
896,6
897,6
898,6
899,5
900,6
901,9
902,5
903,6
904,4
905,7
906,11
907,6
908,5
909,5
910,19
911,5
912,4
913,5
914,4
915,5
916,4
917,4
918,4
919,6
920,9
921,6
922,7
923,7
924,6
925,8
926,7
927,6
928,5
929,4
930,19
931,6
932,4
933,4
934,5
935,5
936,4
937,3
938,4
939,4
940,9
941,6
942,5
943,6
944,4
945,7
946,5
947,7
948,6
949,4
950,19
951,6
952,5
953,6
954,5
955,5
956,6
957,6
958,8
959,7
960,9
961,10
962,7
963,7
964,8
965,7
966,8
967,8
968,7
969,7
970,24
971,9
972,5
973,7
974,8
975,7
976,9
977,7
978,7
979,7
980,7
981,7
982,9
983,9
984,7
985,7
986,6
987,9
988,8
989,6
990,8
991,8
992,9
993,9
994,8
995,7
996,7
997,8
998,6
999,7
1000,4
1001,6
1002,8
1003,4
1004,4
1005,4
1006,5
1007,5
1008,7
1009,6
1010,5
1011,6
1012,7
1013,7
1014,5
1015,6
1016,6
1017,7
1018,9
1019,6
1020,8
1021,7
1022,7
1023,7
1024,6
1025,4
1026,4
1027,5
1028,6
1029,6
1030,5
1031,4
1032,5
1033,6
1034,6
1035,4
1036,5
1037,4
1038,5
1039,6
1040,14
1041,5
1042,5
1043,5
1044,7
1045,4
1046,4
1047,4
1048,5
1049,5
1050,4
1051,4
1052,4
1053,5
1054,5
1055,6
1056,5
1057,4
1058,4
1059,4
1060,5
1061,5
1062,4
1063,6
1064,4
1065,5
1066,4
1067,4
1068,5
1069,5
1070,17
1071,5
1072,6
1073,6
1074,6
1075,7
1076,5
1077,5
1078,5
1079,5
1080,6
1081,9
1082,8
1083,7
1084,6
1085,6
1086,7
1087,5
1088,5
1089,7
1090,18
1091,11
1092,6
1093,8
1094,6
1095,5
1096,7
1097,5
1098,5
1099,6
1100,5
1101,7
1102,5
1103,5
1104,5
1105,6
1106,5
1107,8
1108,5
1109,6
1110,16
1111,4
1112,3
1113,6
1114,5
1115,8
1116,3
1117,4
1118,4
1119,4
1120,6
1121,6
1122,4
1123,4
1124,4
1125,6
1126,5
1127,6
1128,6
1129,5
1130,19
1131,4
1132,4
1133,6
1134,6
1135,5
1136,4
1137,5
1138,4
1139,4
1140,6
1141,4
1142,4
1143,4
1144,4
1145,9
1146,5
1147,6
1148,7
1149,7
1150,20
1151,5
1152,4
1153,6
1154,4
